Time,Symbol,Price,EMA50,EMA200,Trend,RSI,ATR,Signal,Position Size
2026-06-28 12:32:56,BTCUSDT,60154.31,60048.71,60242.14,BEARISH,67.13,96.0,HOLD,0
2026-06-28 13:56:39,BTCUSDT,60228.0,60112.96,60252.77,BEARISH,61.24,56.16,HOLD,0
2026-06-28 13:57:51,BTCUSDT,60230.0,60113.1,60252.8,BEARISH,61.63,56.42,HOLD,0
2026-06-28 14:02:58,BTCUSDT,60238.81,60117.58,60259.46,BEARISH,63.57,52.92,HOLD,0
2026-06-28 14:04:47,BTCUSDT,60234.01,60117.66,60259.48,BEARISH,63.77,53.41,HOLD,0
2026-06-28 14:10:04,BTCUSDT,60453.0,60130.75,60259.12,BEARISH,80.81,70.56,HOLD,0
2026-06-28 14:19:04,BTCUSDT,60418.53,60154.15,60255.94,BEARISH,71.09,104.71,HOLD,0
2026-06-28 14:20:40,BTCUSDT,60408.6,60164.47,60251.43,BEARISH,68.91,98.82,HOLD,0
2026-06-28 14:22:53,BTCUSDT,60396.59,60163.97,60251.3,BEARISH,67.14,99.95,HOLD,0
2026-06-28 14:23:04,BTCUSDT,60396.59,60164.02,60251.31,BEARISH,67.33,99.95,HOLD,0
2026-06-28 14:23:15,BTCUSDT,60394.64,60163.95,60251.29,BEARISH,67.07,99.95,HOLD,0
2026-06-28 14:23:26,BTCUSDT,60398.01,60164.08,60251.33,BEARISH,67.53,99.95,HOLD,0
2026-06-28 14:23:36,BTCUSDT,60398.01,60164.08,60251.33,BEARISH,67.53,99.95,HOLD,0
2026-06-28 14:39:24,BTCUSDT,60414.89,60187.4,60252.67,BEARISH,67.12,94.35,HOLD,0
2026-06-28 14:55:42,BTCUSDT,60343.0,60212.22,60271.32,BEARISH,64.12,80.62,HOLD,0
